basename,date,line,position,nb_fruit
pc_2018_08_02_L04_P17.txt,2018_08_02,04,17,64
pc_2018_08_02_L01_P15.txt,2018_08_02,01,15,72
pc_2018_08_02_L04_P04.txt,2018_08_02,04,04,38
pc_2018_08_02_L02_P15.txt,2018_08_02,02,15,23
pc_2018_08_02_L01_P09.txt,2018_08_02,01,09,17
pc_2018_08_02_L02_P13.txt,2018_08_02,02,13,32
pc_2018_08_02_L04_P09.txt,2018_08_02,04,09,45
pc_2018_08_02_L04_P03.txt,2018_08_02,04,03,19
pc_2018_08_02_L03_P12.txt,2018_08_02,03,12,150
pc_2018_08_02_L03_P19.txt,2018_08_02,03,19,144
pc_2018_08_02_L01_P04.txt,2018_08_02,01,04,35
pc_2018_08_02_L02_P20.txt,2018_08_02,02,20,79
pc_2018_08_02_L01_P14.txt,2018_08_02,01,14,16
pc_2018_08_02_L01_P07.txt,2018_08_02,01,07,2
pc_2018_08_02_L03_P02.txt,2018_08_02,03,02,16
pc_2018_08_02_L02_P03.txt,2018_08_02,02,03,22
pc_2018_08_02_L02_P01.txt,2018_08_02,02,01,41
pc_2018_08_02_L04_P16.txt,2018_08_02,04,16,71
pc_2018_08_02_L03_P14.txt,2018_08_02,03,14,183
pc_2018_08_02_L02_P10.txt,2018_08_02,02,10,238
pc_2018_08_02_L01_P16.txt,2018_08_02,01,16,98
pc_2018_08_02_L01_P05.txt,2018_08_02,01,05,131
pc_2018_08_02_L02_P18.txt,2018_08_02,02,18,24
pc_2018_08_02_L03_P09.txt,2018_08_02,03,09,83
pc_2018_08_02_L01_P12.txt,2018_08_02,01,12,14
pc_2018_08_02_L03_P17.txt,2018_08_02,03,17,123
pc_2018_08_02_L04_P01.txt,2018_08_02,04,01,129
pc_2018_08_02_L01_P17.txt,2018_08_02,01,17,1
pc_2018_08_02_L02_P12.txt,2018_08_02,02,12,32
pc_2018_08_02_L01_P01.txt,2018_08_02,01,01,28
pc_2018_08_02_L01_P20.txt,2018_08_02,01,20,63
pc_2018_08_02_L03_P04.txt,2018_08_02,03,04,148
pc_2018_08_02_L02_P02.txt,2018_08_02,02,02,1
pc_2018_08_02_L03_P07.txt,2018_08_02,03,07,73
pc_2018_08_02_L04_P15.txt,2018_08_02,04,15,209
pc_2018_08_02_L04_P19.txt,2018_08_02,04,19,130
pc_2018_08_02_L03_P01.txt,2018_08_02,03,01,82
pc_2018_08_02_L01_P03.txt,2018_08_02,01,03,15
pc_2018_08_02_L03_P06.txt,2018_08_02,03,06,243
pc_2018_08_02_L03_P13.txt,2018_08_02,03,13,4
pc_2018_08_02_L04_P07.txt,2018_08_02,04,07,85
pc_2018_08_02_L02_P04.txt,2018_08_02,02,04,63
pc_2018_08_02_L02_P05.txt,2018_08_02,02,05,96
pc_2018_08_02_L04_P14.txt,2018_08_02,04,14,84
pc_2018_08_02_L04_P02.txt,2018_08_02,04,02,5
pc_2018_08_02_L02_P16.txt,2018_08_02,02,16,52
pc_2018_08_02_L03_P05.txt,2018_08_02,03,05,222
pc_2018_08_02_L02_P08.txt,2018_08_02,02,08,20
pc_2018_08_02_L02_P19.txt,2018_08_02,02,19,86
pc_2018_08_02_L04_P08.txt,2018_08_02,04,08,45
pc_2018_08_02_L02_P07.txt,2018_08_02,02,07,8
pc_2018_08_02_L03_P20.txt,2018_08_02,03,20,131
pc_2018_08_02_L03_P03.txt,2018_08_02,03,03,12
pc_2018_08_02_L01_P13.txt,2018_08_02,01,13,2
pc_2018_08_02_L03_P08.txt,2018_08_02,03,08,29
pc_2018_08_02_L04_P10.txt,2018_08_02,04,10,124
pc_2018_08_02_L04_P13.txt,2018_08_02,04,13,56
pc_2018_08_02_L04_P05.txt,2018_08_02,04,05,133
pc_2018_08_02_L02_P11.txt,2018_08_02,02,11,159
pc_2018_08_02_L01_P10.txt,2018_08_02,01,10,18
pc_2018_08_02_L03_P11.txt,2018_08_02,03,11,129
pc_2018_08_02_L03_P10.txt,2018_08_02,03,10,203
pc_2018_08_02_L01_P19.txt,2018_08_02,01,19,42
pc_2018_08_02_L04_P12.txt,2018_08_02,04,12,127
pc_2018_08_02_L04_P11.txt,2018_08_02,04,11,84
pc_2018_08_02_L04_P06.txt,2018_08_02,04,06,203
pc_2018_08_02_L01_P11.txt,2018_08_02,01,11,47
pc_2018_08_02_L01_P06.txt,2018_08_02,01,06,136
pc_2018_08_02_L01_P18.txt,2018_08_02,01,18,16
pc_2018_08_02_L03_P16.txt,2018_08_02,03,16,110
pc_2018_08_02_L04_P20.txt,2018_08_02,04,20,184
pc_2018_08_02_L02_P14.txt,2018_08_02,02,14,146
pc_2018_08_02_L02_P17.txt,2018_08_02,02,17,65
pc_2018_08_02_L02_P09.txt,2018_08_02,02,09,76
pc_2018_08_02_L02_P06.txt,2018_08_02,02,06,112
pc_2018_08_02_L03_P15.txt,2018_08_02,03,15,256
